latitude,longitude,food,sports,healthcare,interconnectivity,education
1.319113,103.8829083,0.259625213,0.196969697,0.5,0.5,0.541666667
1.3720185,103.8375217,0.141737649,0.712121212,0.5,0.5,0.458333333
1.3294979,103.9094598,0.108688245,0.151515152,0.5,0.5,0.375
1.334388,103.9370129,0.143781942,0.272727273,0.5,0.5,0.666666667
1.3461032,103.8477574,0.187393526,0.333333333,0.5,0.5,0.791666667
1.3481564,103.7469767,0.108688245,0.090909091,0.5,0.5,0.541666667
1.2730751,103.8256575,0.088586031,0.090909091,0.5,0.5,0.25
1.308230758,103.7995758,0.136626917,0.242424242,0.5,0.5,0.583333333
1.3779831,103.7674096,0.1120954,0.166666667,0.5,0.5,0.416666667
1.2896292,103.8222827,0.174787053,0.090909091,0.5,0.5,0.291666667
1.35398,103.8908827,0.127768313,0.424242424,0.5,0.5,0.666666667
1.3285642,103.854732,0.205110733,0.121212121,0.5,0.5,0.708333333
1.3285517,103.8446775,0.175468484,0.121212121,0.5,0.5,0.625
1.2803121,103.8242139,0.182623509,0.121212121,0.5,0.5,0.25
1.3372962,103.7376511,0.176831346,0.015151515,0.5,0.5,0.583333333
1.3251052,103.909913,0.074616695,0.212121212,0.5,0.5,0.541666667
1.3404085,103.8481424,0.225553663,0.196969697,0.5,0.5,0.833333333
1.3679374,103.9578627,0.072231687,0.151515152,0.5,0.5,0.375
1.3341951,103.8680431,0.055536627,0.196969697,0.5,0.5,0.708333333
1.382547,103.9003079,0.056558773,0.090909091,0.5,0.5,0.625
1.370187,103.8710665,0.11516184,0.727272727,0.5,0.5,0.666666667
1.3418627,103.9509502,0.110051107,0.242424242,0.5,0.5,0.75
1.2736078,103.8340797,0.0879046,0.136363636,0.5,0.5,0.208333333
1.3475719,103.9477094,0.216354344,0.181818182,0.5,0.5,0.708333333
1.3779405,103.7528575,0.059284497,0.121212121,0.5,0.5,0.625
1.3210859,103.8609608,0.173424191,0.151515152,0.5,0.5,0.5
1.4367398,103.7822802,0.166269165,0.060606061,0.5,0.5,0.375
1.431509,103.827332,0.104258944,0.090909091,0.5,0.5,0.416666667
1.3342576,103.8713494,0.077001704,0.287878788,0.5,0.5,0.625
1.4484818,103.8332314,0.01362862,0.090909091,0.5,0.5,0.25
1.2806767,103.8110816,0.225894378,0.106060606,0.5,0.5,0.291666667
1.3966937,103.9085083,0.087563884,0.060606061,0.5,0.5,0.375
1.3336811,103.8706969,0.076660988,0.257575758,0.5,0.5,0.625
1.4480772,103.8332872,0.013969336,0.090909091,0.5,0.5,0.25
1.2806786,103.8107192,0.228960818,0.106060606,0.5,0.5,0.25
1.3972472,103.9078606,0.091311755,0.060606061,0.5,0.5,0.375
1.397392,103.9075484,0.09165247,0.060606061,0.5,0.5,0.375
1.397546,103.907234,0.0879046,0.060606061,0.5,0.5,0.375
1.3189217,103.8842226,0.289608177,0.196969697,0.5,0.5,0.541666667
1.371434,103.8372499,0.123339012,0.727272727,0.5,0.5,0.458333333
1.3324161,103.9363784,0.185008518,0.333333333,0.5,0.5,0.708333333
1.3298653,103.909188,0.105962521,0.136363636,0.5,0.5,0.375
1.3463946,103.8480291,0.185689949,0.333333333,0.5,0.5,0.791666667
1.3477922,103.7466146,0.110051107,0.090909091,0.5,0.5,0.541666667
1.2732267,103.8246613,0.09846678,0.075757576,0.5,0.5,0.25
1.307554841,103.7996979,0.136967632,0.242424242,0.5,0.5,0.583333333
1.3782249,103.7667985,0.114821124,0.166666667,0.5,0.5,0.458333333
1.3279799,103.855095,0.191141397,0.121212121,0.5,0.5,0.708333333
1.2799457,103.8247507,0.205110733,0.121212121,0.5,0.5,0.25
1.3377342,103.7379228,0.176831346,0.015151515,0.5,0.5,0.583333333
1.3249391,103.9101622,0.072913118,0.212121212,0.5,0.5,0.541666667
1.3412736,103.8473045,0.2,0.196969697,0.5,0.5,0.833333333
1.3677199,103.9575001,0.072572402,0.151515152,0.5,0.5,0.375
1.3346386,103.8684039,0.055536627,0.227272727,0.5,0.5,0.708333333
1.3830761,103.9003069,0.059625213,0.075757576,0.5,0.5,0.625
1.3698481,103.8701338,0.120272572,0.727272727,0.5,0.5,0.625
1.3423571,103.9508822,0.114480409,0.227272727,0.5,0.5,0.75
1.2736764,103.8348949,0.129471891,0.151515152,0.5,0.5,0.166666667
1.3483749,103.948072,0.211584327,0.181818182,0.5,0.5,0.708333333
1.3779357,103.7536722,0.05451448,0.136363636,0.5,0.5,0.625
1.3198248,103.8599865,0.198977853,0.196969697,0.5,0.5,0.458333333
1.437327,103.7822802,0.163202726,0.060606061,0.5,0.5,0.375
1.4327912,103.827649,0.104940375,0.106060606,0.5,0.5,0.416666667
1.4497735,103.8327469,0.012265758,0.090909091,0.5,0.5,0.25
1.3973701,103.9069138,0.0879046,0.060606061,0.5,0.5,0.375
1.4491951,103.8335363,0.00988075,0.090909091,0.5,0.5,0.25
1.3971265,103.9070828,0.0879046,0.060606061,0.5,0.5,0.375
1.4497735,103.8327469,0.012265758,0.090909091,0.5,0.5,0.25
1.3968849,103.9071942,0.0879046,0.060606061,0.5,0.5,0.375
1.39672,103.908331,0.086201022,0.060606061,0.5,0.5,0.375
1.319098,103.8852646,0.27802385,0.212121212,0.5,0.5,0.541666667
1.3709152,103.8382463,0.116865417,0.712121212,0.5,0.5,0.5
1.3327098,103.9361971,0.17649063,0.333333333,0.5,0.5,0.708333333
1.3302301,103.9093692,0.107325383,0.136363636,0.5,0.5,0.375
1.3469108,103.8473951,0.13560477,0.333333333,0.5,0.5,0.833333333
1.347426,103.7466144,0.113798978,0.090909091,0.5,0.5,0.541666667
1.2734415,103.8254768,0.089267462,0.090909091,0.5,0.5,0.25
1.307569,103.799033,0.142078365,0.242424242,0.5,0.5,0.583333333
1.3776359,103.7672512,0.114480409,0.166666667,0.5,0.5,0.458333333
1.3528142,103.889886,0.118228279,0.424242424,0.5,0.5,0.666666667
1.3281968,103.8555479,0.181942078,0.136363636,0.5,0.5,0.666666667
1.2792074,103.8256648,0.180579216,0.121212121,0.5,0.5,0.25
1.3382997,103.737085,0.200681431,0.015151515,0.5,0.5,0.583333333
1.324812,103.9100036,0.073594549,0.212121212,0.5,0.5,0.5
1.3415664,103.8473045,0.236797274,0.196969697,0.5,0.5,0.833333333
1.3219533,103.8596246,0.14548552,0.166666667,0.5,0.5,0.5
1.3674286,103.9572281,0.07427598,0.151515152,0.5,0.5,0.458333333
1.3350245,103.8678461,0.056218058,0.227272727,0.5,0.5,0.708333333
1.3828046,103.8998653,0.062350937,0.090909091,0.5,0.5,0.625
1.3698399,103.8709533,0.1120954,0.696969697,0.5,0.5,0.625
1.3429963,103.9510862,0.103236797,0.227272727,0.5,0.5,0.708333333
1.3478594,103.9486159,0.203747871,0.181818182,0.5,0.5,0.708333333
1.3783065,103.752948,0.058603066,0.121212121,0.5,0.5,0.625
1.4371846,103.7815558,0.166950596,0.060606061,0.5,0.5,0.375
1.432342,103.8290981,0.15911414,0.090909091,0.5,0.5,0.416666667
1.4478559,103.8312122,0.016354344,0.090909091,0.5,0.5,0.25
1.4482889,103.8319393,0.016013629,0.090909091,0.5,0.5,0.25
1.32016,103.8590612,0.180238501,0.196969697,0.5,0.5,0.458333333
1.4483938,103.831646,0.015672913,0.090909091,0.5,0.5,0.25
1.3199055,103.8594434,0.186030664,0.212121212,0.5,0.5,0.458333333
1.3194688,103.8844492,0.290971039,0.196969697,0.5,0.5,0.541666667
1.3701494,103.8376575,0.118568995,0.696969697,0.5,0.5,0.5
1.3320701,103.9348777,0.214310051,0.318181818,0.5,0.5,0.708333333
1.3298069,103.9097997,0.103918228,0.151515152,0.5,0.5,0.375
1.3467612,103.8479386,0.144804089,0.333333333,0.5,0.5,0.833333333
1.3469891,103.7461618,0.115502555,0.060606061,0.5,0.5,0.541666667
1.2739482,103.8252941,0.097103918,0.090909091,0.5,0.5,0.25
1.3072348,103.7989908,0.142078365,0.227272727,0.5,0.5,0.583333333
1.3222301,103.7705903,0.046678024,0.378787879,0.5,0.5,0.5
1.3774315,103.7677264,0.114139693,0.166666667,0.5,0.5,0.416666667
1.3552337,103.8893423,0.13560477,0.484848485,0.5,0.5,0.666666667
1.2794991,103.8260265,0.177172061,0.121212121,0.5,0.5,0.25
1.3383251,103.7358405,0.196592845,0.03030303,0.5,0.5,0.666666667
1.3246615,103.9107286,0.068824532,0.212121212,0.5,0.5,0.5
1.3412056,103.8463986,0.198977853,0.212121212,0.5,0.5,0.875
1.3217182,103.8591489,0.145826235,0.181818182,0.5,0.5,0.5
1.3683881,103.9559589,0.106643952,0.151515152,0.5,0.5,0.416666667
1.334789,103.8674998,0.055195911,0.196969697,0.5,0.5,0.75
1.3831541,103.8996724,0.062350937,0.090909091,0.5,0.5,0.625
1.3693516,103.8704735,0.110051107,0.727272727,0.5,0.5,0.625
1.3422697,103.9501796,0.107666099,0.242424242,0.5,0.5,0.75
1.2741055,103.8366159,0.226916525,0.136363636,0.5,0.5,0.166666667
1.3474197,103.9487065,0.204088586,0.196969697,0.5,0.5,0.708333333
1.3786778,103.7521333,0.059284497,0.090909091,0.5,0.5,0.625
1.3271195,103.8557037,0.158091993,0.151515152,0.5,0.5,0.666666667
1.4374082,103.7810126,0.168313458,0.060606061,0.5,0.5,0.375
